date,event,run_number,position,time,age_grade,pb
2026-04-11,Lochore Meadows,307,118,37:59,34.36,false
2026-04-04,Lochore Meadows,306,120,38:02,34.20
2026-03-21,Lochore Meadows,304,124,34:53,37.41,false
2026/03/14,Lochore Meadows,303,128,35:40,36.50,false
2026-03-07,Lochore Meadows,302,131,35:47,36.33,false
2026-02-28,Lochore Meadows,three-oh-one,112,38:21,33.90,false
2026-02-21,Lochore Meadows,300,129,34:06,38.12,false
2026-02-14,Lochore Meadows,299,79,thirty-eight,33.59,false
2026-02-07,Lochore Meadows,298,121,34:43,37.45,false
2026-01-31,Dunfermline,297,134,36:13,thirty-five,false
2026-01-24,Dunfermline,296,215,38:11,34.05,false
2026-01-17,Lochore Meadows,295,84,37:31,34.65,maybe
